ln(t/ts),H: 118.98 m,H: 118.98 m bhw
-48.97089036075263,-1.739122224393074,1.3550571712488258e-05
-47.57879594129801,-1.7341239966609578,1.6491796679026103e-05
-46.1867015218434,-1.7291257689288417,1.9433021645563934e-05
-44.79460710238879,-1.7241275411967256,2.237424661210178e-05
-43.40251268293417,-1.7191293134646095,2.5315471578639627e-05
-42.010418263479565,-1.7141310857324934,2.8256696545177455e-05
-40.61832384402495,-1.7091328580003773,3.11979215117153e-05
-39.226229424570334,-1.7041346302682614,3.4139146478253144e-05
-37.834135005115726,-1.6991364025361453,3.708037144479098e-05
-36.44204058566112,-1.6941381748040292,4.0021596411328814e-05
-35.0499461662065,-1.689139947071913,4.2962821377866655e-05
-33.65785174675189,-1.684141719339797,4.5904046344404496e-05
-32.26575732729728,-1.6791434916076808,4.884527131094234e-05
-30.873662907842665,-1.6741452638755647,5.178649627748018e-05
-29.48156848838805,-1.6691470361434486,5.472772124401802e-05
-28.089474068933438,-1.6641488084113325,5.766894621055586e-05
-26.697379649478826,-1.6591505806792164,6.06101711770937e-05
-25.305285230024214,-1.6541523529471003,6.355139614363153e-05
-23.913190810569603,-1.6491541252149844,6.649262111016937e-05
-22.521096391114988,-1.6441558974828683,6.943384607670723e-05
-21.129001971660376,-1.6391576697507522,7.237507104324506e-05
-19.736907552205764,-1.634159442018636,7.53162960097829e-05
-18.34481313275115,-1.62916121428652,7.825752097632074e-05
-16.95271871329654,-1.6241629865544038,8.119874594285857e-05
-15.560624293841926,-1.4600671228928965,0.0005678310450894953
-14.16852987438731,-0.9689741591898869,0.017664045934180396
-12.776435454932702,-0.12012386831286286,0.23445660711508065
-11.384341035478087,0.8506397886480478,0.8416074243623721
-9.992246616023472,1.6853063882263828,1.5786532022085564
-8.600152196568867,2.4260789992838943,2.2986583060201773
-8.5,2.49774463784087,2.49774463784087
-7.8,2.8445570490826535,2.8445570490826535
-7.2,3.1420464621834183,3.1420464621834183
-6.5,3.4977962430294514,3.4977962430294514
-5.9,3.832715522111749,3.832715522111749
-5.2,4.291362672868143,4.291362672868143
-4.5,4.826655051947325,4.826655051947325
-3.963,5.271338371303921,5.271338371303921
-3.27,5.859954072142205,5.859954072142205
-2.864,6.202203116401224,6.202203116401224
-2.577,6.439663368526066,6.439663368526066
-2.171,6.765452228975697,6.765452228975697
-1.884,6.9869178211853225,6.9869178211853225
-1.191,7.479976249866549,7.479976249866549
-0.497,7.898651406874,7.898651406874
-0.274,8.013652969070517,8.013652969070517
-0.051,8.117595852797088,8.117595852797088
0.196,8.219358636473201,8.219358636473201
0.419,8.29886529563197,8.29886529563197
0.642,8.366986820687877,8.366986820687877
0.873,8.425967979470641,8.425967979470641
1.112,8.47558515511031,8.47558515511031
1.335,8.512653907557436,8.512653907557436
1.679,8.555153236947955,8.555153236947955
2.028,8.584176855100049,8.584176855100049
2.275,8.598395840620327,8.598395840620327
3.003,8.621333648965656,8.621333648965656
