Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0,0,31.06094349552628,34.99999396685315
1,0.0013440860215053765,-24.90439608326592,-0.12606148293144112,18.3,0.0
2,0.002688172043010753,0,0,18.3,0.0
2,0.002688172043010753,-25.029004571149155,-0.12669222823102141,19.39124758889351,23.103387521889797
3,0.004032258064516129,-25.029004571149155,-0.12669222823102141,19.39124758889351,23.103387521889797
3,0.004032258064516129,-25.10330362025646,-0.12706831638347238,20.346461905940465,24.077175433024923
4,0.005376344086021506,-25.10330362025646,-0.12706831638347238,20.346461905940465,24.077175433024923
4,0.005376344086021506,-25.1563176589024,-0.1273366637188403,20.9160179342327,24.657806151353917
5,0.006720430107526882,-25.1563176589024,-0.1273366637188403,20.9160179342327,24.657806151353917
5,0.006720430107526882,-25.193918847857656,-0.12752699403738474,21.322408940008547,25.072099196962775
6,0.008064516129032258,-25.193918847857656,-0.12752699403738474,21.322408940008547,25.072099196962775
6,0.008064516129032258,-25.22427376953661,-0.12768064508069144,21.610649288946156,25.365944214031355
7,0.009408602150537635,-25.22427376953661,-0.12768064508069144,21.610649288946156,25.365944214031355
7,0.009408602150537635,-25.24999185216892,-0.12781082529561988,21.843341750536304,25.60316124696829
8,0.010752688172043012,-25.24999185216892,-0.12781082529561988,21.843341750536304,25.60316124696829
8,0.010752688172043012,-25.272311602704395,-0.1279238037770797,22.04048948224139,25.80414240315074
9,0.012096774193548387,-25.272311602704395,-0.1279238037770797,22.04048948224139,25.80414240315074
9,0.012096774193548387,-25.292032540669258,-0.12802362754619812,22.21158653691699,25.978566341842324
10,0.013440860215053764,-25.292032540669258,-0.12802362754619812,22.21158653691699,25.978566341842324
10,0.013440860215053764,-25.30970062539673,-0.12811306014893448,22.36276181084603,26.132681132196126
11,0.01478494623655914,-25.30970062539673,-0.12811306014893448,22.36276181084603,26.132681132196126
11,0.01478494623655914,-25.325705580306085,-0.12819407429372154,22.49820047777128,26.27075332625599
12,0.016129032258064516,-25.325705580306085,-0.12819407429372154,22.49820047777128,26.27075332625599
12,0.016129032258064516,-25.340335489611498,-0.12826812820998704,22.620890049989136,26.395828526780036
13,0.01747311827956989,-25.340335489611498,-0.12826812820998704,22.620890049989136,26.395828526780036
13,0.01747311827956989,-25.353809374283067,-0.1283363305416905,22.733038901668678,26.510158048505428
14,0.01881720430107527,-25.353809374283067,-0.1283363305416905,22.733038901668678,26.510158048505428
14,0.01881720430107527,-25.3662976656157,-0.12839954398077202,22.83632598718876,26.61545349211517
15,0.020161290322580645,-25.3662976656157,-0.12839954398077202,22.83632598718876,26.61545349211517
15,0.020161290322580645,-25.3779356077187,-0.12845845310809514,22.932057785872964,26.713046740673352
16,0.021505376344086023,-25.3779356077187,-0.12845845310809514,22.932057785872964,26.713046740673352
16,0.021505376344086023,-25.388832332654278,-0.12851361033013264,23.021271041780285,26.803994697132094
17,0.0228494623655914,-25.388832332654278,-0.12851361033013264,23.021271041780285,26.803994697132094
17,0.0228494623655914,-25.398240567809594,-0.12856123309004547,23.10480233121494,26.88915020454164
18,0.024193548387096774,-25.398240567809594,-0.12856123309004547,23.10480233121494,26.88915020454164
18,0.024193548387096774,-25.406676389220042,-0.12860393367002299,23.176923268328963,26.962673491879386
19,0.025537634408602152,-25.406676389220042,-0.12860393367002299,23.176923268328963,26.962673491879386
19,0.025537634408602152,-25.41465376533644,-0.12864431368404833,23.241589949742018,27.028597579792912
20,0.026881720430107527,-25.41465376533644,-0.12864431368404833,23.241589949742018,27.028597579792912
20,0.026881720430107527,-25.422222124007725,-0.12868262332682262,23.302742315911413,27.09093901862013
21,0.028225806451612902,-25.422222124007725,-0.12868262332682262,23.302742315911413,27.09093901862013
21,0.028225806451612902,-25.42942260275997,-0.12871907082895395,23.360759267101244,27.150084076123278
22,0.02956989247311828,-25.42942260275997,-0.12871907082895395,23.360759267101244,27.150084076123278
22,0.02956989247311828,-25.436290033720255,-0.1287538325042778,23.415956152245858,27.20635423301572
23,0.030913978494623656,-25.436290033720255,-0.1287538325042778,23.415956152245858,27.20635423301572
23,0.030913978494623656,-25.442854252821,-0.12878705937680907,23.46859998482929,27.260021694705415
24,0.03225806451612903,-25.442854252821,-0.12878705937680907,23.46859998482929,27.260021694705415
24,0.03225806451612903,-25.449141175340728,-0.1288188826249321,23.51891947888445,27.311319622438365
25,0.033602150537634407,-25.449141175340728,-0.1288188826249321,23.51891947888445,27.311319622438365
25,0.033602150537634407,-25.455173490447947,-0.12884941709705433,23.567113293792453,27.360450538413307
26,0.03494623655913978,-25.455173490447947,-0.12884941709705433,23.567113293792453,27.360450538413307
26,0.03494623655913978,-25.46097118689157,-0.12887876397255477,23.613355358464272,27.407591753489058
27,0.036290322580645164,-25.46097118689157,-0.12887876397255477,23.613355358464272,27.407591753489058
27,0.036290322580645164,-25.46655197155679,-0.12890701288043702,23.657798901138754,27.45289947533961
28,0.03763440860215054,-25.46655197155679,-0.12890701288043702,23.657798901138754,27.45289947533961
28,0.03763440860215054,-25.47193160780522,-0.12893424361194486,23.700579657916464,27.496512079376092
29,0.038978494623655914,-25.47193160780522,-0.12893424361194486,23.700579657916464,27.496512079376092
29,0.038978494623655914,-25.477124192204332,-0.12896052752131615,23.7418184663821,27.53855275280067
30,0.04032258064516129,-25.477124192204332,-0.12896052752131615,23.7418184663821,27.53855275280067
30,0.04032258064516129,-25.482142383048078,-0.12898592868251196,23.781623386935763,27.5791316571859
31,0.041666666666666664,-25.482142383048078,-0.12898592868251196,23.781623386935763,27.5791316571859
31,0.041666666666666664,-25.486997590623147,-0.12901050485230972,23.820091454569393,27.61834771431344
32,0.043010752688172046,-25.486997590623147,-0.12901050485230972,23.820091454569393,27.61834771431344
32,0.043010752688172046,-25.491700136776693,-0.12903430827800563,23.85731013739531,27.656290093062847
33,0.04435483870967742,-25.491700136776693,-0.12903430827800563,23.85731013739531,27.656290093062847
33,0.04435483870967742,-25.496259417718257,-0.12905738652148815,23.893358559848288,27.693039456398107
34,0.0456989247311828,-25.496259417718257,-0.12905738652148815,23.893358559848288,27.693039456398107
34,0.0456989247311828,-25.500683988563313,-0.12907978288718192,23.928308750680394,27.728669233629027
35,0.04704301075268817,-25.500683988563313,-0.12907978288718192,23.928308750680394,27.728669233629027
35,0.04704301075268817,-25.50498163854445,-0.1291015368027529,23.962226291048513,27.763246281100447
36,0.04838709677419355,-25.50498163854445,-0.1291015368027529,23.962226291048513,27.763246281100447
36,0.04838709677419355,-25.509159491211193,-0.1291226843263017,23.9951708910623,27.796831469950828
37,0.04973118279569892,-25.509159491211193,-0.1291226843263017,23.9951708910623,27.796831469950828
37,0.04973118279569892,-25.51322408503511,-0.12914325855437145,24.027197157888732,27.82948046915216
38,0.051075268817204304,-25.51322408503511,-0.12914325855437145,24.027197157888732,27.82948046915216
38,0.051075268817204304,-25.517181435963305,-0.12916328993858253,24.058355213648312,27.861244375420814
39,0.05241935483870968,-25.517181435963305,-0.12916328993858253,24.058355213648312,27.861244375420814
39,0.05241935483870968,-25.52103709179117,-0.12918280656085712,24.088691174933214,27.892170202059617
40,0.053763440860215055,-25.52103709179117,-0.12918280656085712,24.088691174933214,27.892170202059617
40,0.053763440860215055,-25.524796179612252,-0.12920183437360191,24.118247569613413,27.922301303868576
41,0.05510752688172043,-25.524796179612252,-0.12920183437360191,24.118247569613413,27.922301303868576
41,0.05510752688172043,-25.528463447385864,-0.12922039741011573,24.14706370057472,27.95167774795555
42,0.056451612903225805,-25.528463447385864,-0.12922039741011573,24.14706370057472,27.95167774795555
42,0.056451612903225805,-25.53204330048368,-0.12923851796958155,24.175175964364325,27.9803366385777
43,0.05779569892473118,-25.53204330048368,-0.12923851796958155,24.175175964364325,27.9803366385777
43,0.05779569892473118,-25.535539833928574,-0.12925621678025376,24.202618131347087,28.008312402745243
44,0.05913978494623656,-25.535539833928574,-0.12925621678025376,24.202618131347087,28.008312402745243
44,0.05913978494623656,-25.53895686092234,-0.12927351314386004,24.22942159283943,28.03563704216073
45,0.06048387096774194,-25.53895686092234,-0.12927351314386004,24.22942159283943,28.03563704216073
45,0.06048387096774194,-25.542297938164435,-0.12929042506376037,24.255615579795098,28.062340356157023
46,0.06182795698924731,-25.542297938164435,-0.12929042506376037,24.255615579795098,28.062340356157023
46,0.06182795698924731,-25.54556638838609,-0.12930696935901057,24.28122735689169,28.08845013955773
47,0.06317204301075269,-25.54556638838609,-0.12930696935901057,24.28122735689169,28.08845013955773
47,0.06317204301075269,-25.54876532045993,-0.12932316176615336,24.306282395270824,28.11399235877619
48,0.06451612903225806,-25.54876532045993,-0.12932316176615336,24.306282395270824,28.11399235877619
48,0.06451612903225806,-25.551897647391943,-0.1293390170302905,24.330804526693,28.138991308967817
49,0.06586021505376344,-25.551897647391943,-0.1293390170302905,24.330804526693,28.138991308967817
49,0.06586021505376344,-25.55496610245729,-0.12935454898675924,24.35481608145911,28.163469754633372
50,0.06720430107526881,-25.55496610245729,-0.12935454898675924,24.35481608145911,28.163469754633372
50,0.06720430107526881,-25.557973253706617,-0.1293697706345608,24.37833801210304,28.187449055716748
51,0.06854838709677419,-25.557973253706617,-0.1293697706345608,24.37833801210304,28.187449055716748
51,0.06854838709677419,-25.5609215170375,-0.12938469420252527,24.401390004593132,28.21094928096863
52,0.06989247311827956,-25.5609215170375,-0.12938469420252527,24.401390004593132,28.21094928096863
52,0.06989247311827956,-25.563813167996962,-0.1293993312090542,24.42399057853413,28.23398931009686
53,0.07123655913978495,-25.563813167996962,-0.1293993312090542,24.42399057853413,28.23398931009686
53,0.07123655913978495,-25.566650352459817,-0.1294136925161721,24.446157177642267,28.256586926000704
54,0.07258064516129033,-25.566650352459817,-0.1294136925161721,24.446157177642267,28.256586926000704
54,0.07258064516129033,-25.56943509630937,-0.1294277883785285,24.467906251602358,28.278758898219667
55,0.0739247311827957,-25.56943509630937,-0.1294277883785285,24.467906251602358,28.278758898219667
55,0.0739247311827957,-25.57216931423039,-0.12944162848790636,24.48925333027722,28.30052105858583
56,0.07526881720430108,-25.57216931423039,-0.12944162848790636,24.48925333027722,28.30052105858583
56,0.07526881720430108,-25.57485481771052,-0.12945522201372367,24.510213091112554,28.3218883699394
57,0.07661290322580645,-25.57485481771052,-0.12945522201372367,24.510213091112554,28.3218883699394
57,0.07661290322580645,-25.577493322334043,-0.1294685776399533,24.530799420473215,28.34287498865763
58,0.07795698924731183,-25.577493322334043,-0.1294685776399533,24.530799420473215,28.34287498865763
58,0.07795698924731183,-25.58008645444195,-0.1294817035988349,24.5510254695554,28.363494321654176
59,0.0793010752688172,-25.58008645444195,-0.1294817035988349,24.5510254695554,28.363494321654176
