ln(t/ts),H: 96.99 m,H: 96.99 m bhw
-48.56226681400903,-1.729547909081599,1.3821065390349962e-05
-47.18425778621925,-1.7246073813448413,1.6784976143790664e-05
-45.80624875842947,-1.7196668536080837,1.9748886897231364e-05
-44.42823973063969,-1.714726325871326,2.2712797650672064e-05
-43.05023070284991,-1.709785798134568,2.5676708404112764e-05
-41.67222167506013,-1.7048452703978105,2.8640619157553465e-05
-40.29421264727034,-1.6999047426610527,3.1604529910994185e-05
-38.91620361948056,-1.694964214924295,3.4568440664434886e-05
-37.53819459169078,-1.6900236871875374,3.7532351417875586e-05
-36.160185563901,-1.6850831594507796,4.0496262171316286e-05
-34.78217653611122,-1.6801426317140218,4.3460172924756986e-05
-33.40416750832144,-1.6752021039772642,4.642408367819769e-05
-32.02615848053166,-1.6702615762405064,4.9387994431638394e-05
-30.648149452741883,-1.6653210485037486,5.2351905185079094e-05
-29.2701404249521,-1.660380520766991,5.53158159385198e-05
-27.89213139716232,-1.6554399930302333,5.82797266919605e-05
-26.51412236937254,-1.6504994652934755,6.12436374454012e-05
-25.13611334158276,-1.645558937556718,6.42075481988419e-05
-23.75810431379298,-1.64061840981996,6.71714589522826e-05
-22.380095286003197,-1.6356778820832023,7.013536970572332e-05
-21.002086258213417,-1.6307373543464447,7.309928045916402e-05
-19.624077230423637,-1.625796826609687,7.60631912126047e-05
-18.246068202633857,-1.6208562988729291,7.90271019660454e-05
-16.868059174844078,-1.6159157711361716,8.199101271948612e-05
-15.490050147054298,-1.52041995035788,0.0002673457308861112
-14.112041119264518,-1.1205684318779674,0.0074657073375591
-12.734032091474738,-0.3652228125754559,0.1388936126841698
-11.356023063684951,0.5968473687535693,0.6497395033406057
-9.978014035895171,1.4629380100349645,1.3704788209392198
-8.600005008105393,2.213768513367282,2.0896085798299757
-8.5,2.28759628201853,2.28759628201853
-7.8,2.633781989181542,2.633781989181542
-7.2,2.93028228559767,2.93028228559767
-6.5,3.2751697312389245,3.2751697312389245
-5.9,3.5692717830547274,3.5692717830547274
-5.2,3.9095053838025526,3.9095053838025526
-4.5,4.244909078384904,4.244909078384904
-3.963,4.497382492446773,4.497382492446773
-3.27,4.814142816857069,4.814142816857069
-2.864,4.993516681463878,4.993516681463878
-2.577,5.116835029819194,5.116835029819194
-2.171,5.2852414832797265,5.2852414832797265
-1.884,5.399403583552747,5.399403583552747
-1.191,5.653804382597737,5.653804382597737
-0.497,5.870476568746044,5.870476568746044
-0.274,5.930105291134616,5.930105291134616
-0.051,5.9841148593988045,5.9841148593988045
0.196,6.037088565050415,6.037088565050415
0.419,6.078573225195049,6.078573225195049
0.642,6.114157792006405,6.114157792006405
0.873,6.145026796408582,6.145026796408582
1.112,6.171044713401433,6.171044713401433
1.335,6.190503234684043,6.190503234684043
1.679,6.2128494342557605,6.2128494342557605
2.028,6.228122793347714,6.228122793347714
2.275,6.235606958597022,6.235606958597022
3.003,6.247678831714829,6.247678831714829
