Time (hr),Time (month),Tb (C),GHE ExFT (C)
1,0.001344086,-0.72558495,-4.999993152
2,0.002688172,9.2,0
3,0.004032258,10.78442283,6.282609866
4,0.005376344,9.613938967,5.135251408
5,0.00672043,8.934567584,4.469302456
6,0.008064516,8.456136164,4.00032347
7,0.009408602,8.123567166,3.674325082
8,0.010752688,7.852462463,3.408576631
9,0.012096774,7.623736927,3.184370055
10,0.01344086,7.425982562,2.990522751
11,0.014784946,7.251851581,2.819832098
12,0.016129032,7.096326179,2.667379432
13,0.017473118,6.955831978,2.529660995
14,0.018817204,6.827733094,2.404092977
15,0.02016129,6.710030185,2.28871554
16,0.021505376,6.601170874,2.182006977
17,0.022849462,6.499925831,2.082762246
18,0.024193548,6.407998464,1.9926511
19,0.025537634,6.331442436,1.9176076
20,0.02688172,6.259215602,1.846807761
21,0.028225806,6.190887021,1.779829157
22,0.029569892,6.126070972,1.716293687
23,0.030913978,6.064433765,1.655874254
24,0.032258065,6.005682099,1.598283353
25,0.033602151,5.949560654,1.543270707
26,0.034946237,5.895846101,1.4906174
27,0.036290323,5.84434212,1.44013099
28,0.037634409,5.794875284,1.391641477
29,0.038978495,5.747291683,1.344997991
30,0.040322581,5.701454122,1.300066049
31,0.041666667,5.657239807,1.256725283
32,0.043010753,5.614538407,1.21486754
33,0.044354839,5.573250461,1.174395325
34,0.045698925,5.533286173,1.135220617
35,0.047043011,5.494564212,1.097263691
36,0.048387097,5.457010104,1.060451544
37,0.049731183,5.420555861,1.024717532
38,0.051075269,5.385139251,0.990000653
39,0.052419355,5.350703168,0.956244928
40,0.053763441,5.317195081,0.923398866
41,0.055107527,5.284566564,0.891414994
42,0.056451613,5.252772873,0.860249456
43,0.057795699,5.221772591,0.829861651
44,0.059139785,5.191527298,0.800213918
45,0.060483871,5.162001296,0.771271265
46,0.061827957,5.133161352,0.743001116
47,0.063172043,5.104976482,0.715373098
48,0.064516129,5.07741775,0.688358847
49,0.065860215,5.050458091,0.661931834
50,0.067204301,5.024072155,0.636067209
51,0.068548387,4.998236165,0.610741664
52,0.069892473,4.972927788,0.585933308
53,0.071236559,4.948126023,0.561621554
54,0.072580645,4.923811094,0.537787019
55,0.073924731,4.899964362,0.514411429
56,0.075268817,4.876568232,0.49147754
57,0.076612903,4.853606084,0.468969059
58,0.077956989,4.831062198,0.446870575
59,0.079301075,4.808921691,0.425167501
60,0.080645161,4.787170459,0.403846011
61,0.081989247,4.765795124,0.382892991
62,0.083333333,4.744782985,0.362295992
63,0.084677419,4.724121971,0.342043181
64,0.086021505,4.703800605,0.322123306
65,0.087365591,4.68107499,0.299846684
66,0.088709677,4.65405526,0.273360787
67,0.090053763,4.627522142,0.247351888
68,0.091397849,4.601436548,0.221781669
69,0.092741935,4.575773759,0.196625903
70,0.094086022,4.550514126,0.171865329
71,0.095430108,4.525642585,0.147485178
72,0.096774194,4.507749629,0.129945735
73,0.09811828,4.491916515,0.114425438
74,0.099462366,4.47625989,0.099078143
75,0.100806452,4.460792817,0.083916656
76,0.102150538,4.445520548,0.068946123
77,0.103494624,4.430442749,0.054166219
78,0.10483871,4.415556875,0.039574446
79,0.106182796,4.400859676,0.025167622
80,0.107526882,4.386347481,0.010942146
81,0.108870968,4.372016167,-0.003106022
82,0.110215054,4.357861519,-0.016981015
83,0.11155914,4.343879744,-0.03068655
84,0.112903226,4.330067075,-0.04422632
85,0.114247312,4.316419796,-0.057603968
86,0.115591398,4.30293426,-0.070823068
87,0.116935484,4.289607059,-0.083886963
88,0.11827957,4.276435305,-0.09679848
89,0.119623656,4.263415703,-0.109560852
90,0.120967742,4.250544885,-0.122177379
91,0.122311828,4.237819586,-0.134651263
92,0.123655914,4.225236636,-0.14698561
93,0.125,4.212792962,-0.159183433
94,0.126344086,4.20048558,-0.171247656
95,0.127688172,4.188311599,-0.183181114
96,0.129032258,4.176268211,-0.19498656
97,0.130376344,4.164352693,-0.206666661
98,0.13172043,4.152562404,-0.218224008
99,0.133064516,4.140894778,-0.229661115
100,0.134408602,4.129347327,-0.240980421
101,0.135752688,4.117917635,-0.252184295
102,0.137096774,4.106603357,-0.263275036
103,0.13844086,4.095402213,-0.274254877
104,0.139784946,4.084311991,-0.285125988
105,0.141129032,4.073330541,-0.295890476
106,0.142473118,4.062455774,-0.306550389
107,0.143817204,4.051685659,-0.317107717
108,0.14516129,4.041018222,-0.327564396
109,0.146505376,4.030451543,-0.337922308
110,0.147849462,4.019983756,-0.348183282
111,0.149193548,4.009613044,-0.358349099
112,0.150537634,3.999337639,-0.368421491
113,0.15188172,3.989155821,-0.378402145
