ln(t/ts),H: 103.85 m,H: 103.85 m bhw
-48.69895232411491,-1.7323281734456444,1.3741892583556196e-05
-47.31623340465951,-1.7273686783224826,1.6700542246511808e-05
-45.93351448520412,-1.722409183199321,1.9659191909467405e-05
-44.55079556574872,-1.7174496880761592,2.261784157242302e-05
-43.16807664629333,-1.7124901929529974,2.5576491235378615e-05
-41.78535772683793,-1.7075306978298357,2.853514089833423e-05
-40.40263880738253,-1.702571202706674,3.1493790561289844e-05
-39.01991988792714,-1.6976117075835122,3.445244022424544e-05
-37.63720096847174,-1.6926522124603505,3.741108988720105e-05
-36.254482049016346,-1.6876927173371887,4.036973955015665e-05
-34.87176312956095,-1.682733222214027,4.332838921311226e-05
-33.48904421010555,-1.6777737270908653,4.628703887606787e-05
-32.106325290650155,-1.6728142319677035,4.924568853902347e-05
-30.72360637119476,-1.6678547368445418,5.2204338201979074e-05
-29.34088745173936,-1.66289524172138,5.516298786493469e-05
-27.958168532283963,-1.6579357465982183,5.812163752789029e-05
-26.575449612828567,-1.6529762514750566,6.10802871908459e-05
-25.19273069337317,-1.6480167563518948,6.40389368538015e-05
-23.810011773917775,-1.643057261228733,6.69975865167571e-05
-22.427292854462376,-1.6380977661055713,6.995623617971272e-05
-21.04457393500698,-1.6331382709824096,7.291488584266833e-05
-19.661855015551584,-1.6281787758592479,7.587353550562393e-05
-18.279136096096188,-1.6232192807360861,7.883218516857953e-05
-16.896417176640792,-1.6182597856129244,8.179083483153513e-05
-15.513698257185396,-1.5020010080678659,0.00034749962361921836
-14.130979337729997,-1.072361325638291,0.010023021335359516
-12.748260418274604,-0.28476167497166993,0.16731768742884956
-11.365541498819205,0.682982088807081,0.7126081168666221
-9.982822579363805,1.5382120355973559,1.440292939900175
-8.60010365990841,2.2850820461820716,2.1596724911220395
-8.5,2.358944762559867,2.358944762559867
-7.8,2.705382088090304,2.705382088090304
-7.2,3.0019949090473173,3.0019949090473173
-6.5,3.346946978760983,3.346946978760983
-5.9,3.6410573074592394,3.6410573074592394
-5.2,3.9812297768808245,3.9812297768808245
-4.5,4.3164724887200645,4.3164724887200645
-3.963,4.568749512874536,4.568749512874536
-3.27,4.8851670061780945,4.8851670061780945
-2.864,5.064301393687918,5.064301393687918
-2.577,5.187436202380391,5.187436202380391
-2.171,5.3555641335579445,5.3555641335579445
-1.884,5.469519686930711,5.469519686930711
-1.191,5.7233954798327815,5.7233954798327815
-0.497,5.93952569735199,5.93952569735199
-0.274,5.998980481218054,5.998980481218054
-0.051,6.052819032498478,6.052819032498478
0.196,6.10560941389774,6.10560941389774
0.419,6.146937249065253,6.146937249065253
0.642,6.182376378477827,6.182376378477827
0.873,6.213109413479942,6.213109413479942
1.112,6.239004464130133,6.239004464130133
1.335,6.258365476503766,6.258365476503766
1.679,6.2805928357156855,6.2805928357156855
2.028,6.295779990828249,6.295779990828249
2.275,6.303220140601633,6.303220140601633
3.003,6.315218061433278,6.315218061433278
