Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0,0,18.602334747192064,-4.999993062339226
1,0.0013440860215053765,-3600.0,-34.665386253113695,9.2,0.0
2,0.002688172043010753,0,0,9.2,0.0
2,0.002688172043010753,-3600.0,-34.665386253113695,7.399960018976447,5.954560579098009
3,0.004032258064516129,-3600.0,-34.665386253113695,7.399960018976447,5.954560579098009
3,0.004032258064516129,-3600.0,-34.665386253113695,8.366472842225232,5.009429138284101
4,0.005376344086021506,-3600.0,-34.665386253113695,8.366472842225232,5.009429138284101
4,0.005376344086021506,-3600.0,-34.665386253113695,9.436745219367113,3.962833532370389
5,0.006720430107526882,-3600.0,-34.665386253113695,9.436745219367113,3.962833532370389
5,0.006720430107526882,-3600.0,-34.665386253113695,9.973713706282279,3.437743965525435
6,0.008064516129032258,-3600.0,-34.665386253113695,9.973713706282279,3.437743965525435
6,0.008064516129032258,-3600.0,-34.665386253113695,10.36534997041068,3.0547715541026297
7,0.009408602150537635,-3600.0,-34.665386253113695,10.36534997041068,3.0547715541026297
7,0.009408602150537635,-3600.0,-34.665386253113695,10.662731843162181,2.7639684202954573
8,0.010752688172043012,-3600.0,-34.665386253113695,10.662731843162181,2.7639684202954573
8,0.010752688172043012,-3600.0,-34.665386253113695,10.91374097470631,2.5185121610020555
9,0.012096774193548387,-3600.0,-34.665386253113695,10.91374097470631,2.5185121610020555
9,0.012096774193548387,-3600.0,-34.665386253113695,11.130854269939505,2.306201887814107
10,0.013440860215053764,-3600.0,-34.665386253113695,11.130854269939505,2.306201887814107
10,0.013440860215053764,-3600.0,-34.665386253113695,11.322042329440746,2.119243327310546
11,0.01478494623655914,-3600.0,-34.665386253113695,11.322042329440746,2.119243327310546
11,0.01478494623655914,-3600.0,-34.665386253113695,11.492799066891482,1.9522641032242931
12,0.016129032258064516,-3600.0,-34.665386253113695,11.492799066891482,1.9522641032242931
12,0.016129032258064516,-3600.0,-34.665386253113695,11.647044468008618,1.8014309485158706
13,0.01747311827956989,-3600.0,-34.665386253113695,11.647044468008618,1.8014309485158706
13,0.01747311827956989,-3600.0,-34.665386253113695,11.787672869219264,1.6639135558248865
14,0.01881720430107527,-3600.0,-34.665386253113695,11.787672869219264,1.6639135558248865
14,0.01881720430107527,-3600.0,-34.665386253113695,11.916880238674175,1.5375645366300734
15,0.020161290322580645,-3600.0,-34.665386253113695,11.916880238674175,1.5375645366300734
15,0.020161290322580645,-3600.0,-34.665386253113695,12.036371911993802,1.4207162810733276
16,0.021505376344086023,-3600.0,-34.665386253113695,12.036371911993802,1.4207162810733276
16,0.021505376344086023,-3600.0,-34.665386253113695,12.147498496186397,1.3120480605342204
17,0.0228494623655914,-3600.0,-34.665386253113695,12.147498496186397,1.3120480605342204
17,0.0228494623655914,-3600.0,-34.665386253113695,12.251347786921691,1.2104961437678874
18,0.024193548387096774,-3600.0,-34.665386253113695,12.251347786921691,1.2104961437678874
18,0.024193548387096774,-3600.0,-34.665386253113695,12.348808741378551,1.115191239277034
19,0.025537634408602152,-3600.0,-34.665386253113695,12.348808741378551,1.115191239277034
19,0.025537634408602152,-3600.0,-34.665386253113695,12.440617112854506,1.0254138702399842
20,0.026881720430107527,-3600.0,-34.665386253113695,12.440617112854506,1.0254138702399842
20,0.026881720430107527,-3600.0,-34.665386253113695,12.516066165954596,0.9516339155935082
21,0.028225806451612902,-3600.0,-34.665386253113695,12.516066165954596,0.9516339155935082
21,0.028225806451612902,-3600.0,-34.665386253113695,12.587515828591568,0.8817648761256606
22,0.02956989247311828,-3600.0,-34.665386253113695,12.587515828591568,0.8817648761256606
22,0.02956989247311828,-3600.0,-34.665386253113695,12.655527777967238,0.8152575001656398
23,0.030913978494623656,-3600.0,-34.665386253113695,12.655527777967238,0.8152575001656398
23,0.030913978494623656,-3600.0,-34.665386253113695,12.72037612652487,0.7518437392383288
24,0.03225806451612903,-3600.0,-34.665386253113695,12.72037612652487,0.7518437392383288
24,0.03225806451612903,-3600.0,-34.665386253113695,12.782331474184137,0.6912589796874915
25,0.033602150537634407,-3600.0,-34.665386253113695,12.782331474184137,0.6912589796874915
25,0.033602150537634407,-3600.0,-34.665386253113695,12.841634108747083,0.633268249404017
26,0.03494623655913978,-3600.0,-34.665386253113695,12.841634108747083,0.633268249404017
26,0.03494623655913978,-3600.0,-34.665386253113695,12.89849878787518,0.5776615416367026
27,0.036290322580645164,-3600.0,-34.665386253113695,12.89849878787518,0.5776615416367026
27,0.036290322580645164,-3600.0,-34.665386253113695,12.953115792139617,0.524252785237722
28,0.03763440860215054,-3600.0,-34.665386253113695,12.953115792139617,0.524252785237722
28,0.03763440860215054,-3600.0,-34.665386253113695,13.005654285949966,0.47287655808508094
29,0.038978494623655914,-3600.0,-34.665386253113695,13.005654285949966,0.47287655808508094
29,0.038978494623655914,-3600.0,-34.665386253113695,13.056265243505088,0.42338522586016897
30,0.04032258064516129,-3600.0,-34.665386253113695,13.056265243505088,0.42338522586016897
30,0.04032258064516129,-3600.0,-34.665386253113695,13.105083912634763,0.3756465327116864
31,0.041666666666666664,-3600.0,-34.665386253113695,13.105083912634763,0.3756465327116864
31,0.041666666666666664,-3600.0,-34.665386253113695,13.152231893030422,0.32954156899994685
32,0.043010752688172046,-3600.0,-34.665386253113695,13.152231893030422,0.32954156899994685
32,0.043010752688172046,-3600.0,-34.665386253113695,13.197818891881369,0.2849630544991751
33,0.04435483870967742,-3600.0,-34.665386253113695,13.197818891881369,0.2849630544991751
33,0.04435483870967742,-3600.0,-34.665386253113695,13.241944211868976,0.24181388332100287
34,0.0456989247311828,-3600.0,-34.665386253113695,13.241944211868976,0.24181388332100287
34,0.0456989247311828,-3600.0,-34.665386253113695,13.284698017066411,0.20000588601921251
35,0.04704301075268817,-3600.0,-34.665386253113695,13.284698017066411,0.20000588601921251
35,0.04704301075268817,-3600.0,-34.665386253113695,13.326162414250955,0.1594587721984366
36,0.04838709677419355,-3600.0,-34.665386253113695,13.326162414250955,0.1594587721984366
