Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.001344086,0,0,18.60233475,-4.999993062
1,0.001344086,-3600,-34.66538625,9.2,0
2,0.002688172,0,0,9.2,0
2,0.002688172,-3600,-34.66538625,7.399960019,5.954560579
3,0.004032258,-3600,-34.66538625,7.399960019,5.954560579
3,0.004032258,-3600,-34.66538625,8.366472842,5.009429138
4,0.005376344,-3600,-34.66538625,8.366472842,5.009429138
4,0.005376344,-3600,-34.66538625,9.436745219,3.962833532
5,0.00672043,-3600,-34.66538625,9.436745219,3.962833532
5,0.00672043,-3600,-34.66538625,9.973713706,3.437743966
6,0.008064516,-3600,-34.66538625,9.973713706,3.437743966
6,0.008064516,-3600,-34.66538625,10.36534997,3.054771554
7,0.009408602,-3600,-34.66538625,10.36534997,3.054771554
7,0.009408602,-3600,-34.66538625,10.66273184,2.76396842
8,0.010752688,-3600,-34.66538625,10.66273184,2.76396842
8,0.010752688,-3600,-34.66538625,10.91374097,2.518512161
9,0.012096774,-3600,-34.66538625,10.91374097,2.518512161
9,0.012096774,-3600,-34.66538625,11.13085427,2.306201888
10,0.01344086,-3600,-34.66538625,11.13085427,2.306201888
10,0.01344086,-3600,-34.66538625,11.32204233,2.119243327
11,0.014784946,-3600,-34.66538625,11.32204233,2.119243327
11,0.014784946,-3600,-34.66538625,11.49279907,1.952264103
12,0.016129032,-3600,-34.66538625,11.49279907,1.952264103
12,0.016129032,-3600,-34.66538625,11.64704447,1.801430949
13,0.017473118,-3600,-34.66538625,11.64704447,1.801430949
13,0.017473118,-3600,-34.66538625,11.78767287,1.663913556
14,0.018817204,-3600,-34.66538625,11.78767287,1.663913556
14,0.018817204,-3600,-34.66538625,11.91688024,1.537564537
15,0.02016129,-3600,-34.66538625,11.91688024,1.537564537
15,0.02016129,-3600,-34.66538625,12.03637191,1.420716281
16,0.021505376,-3600,-34.66538625,12.03637191,1.420716281
16,0.021505376,-3600,-34.66538625,12.1474985,1.312048061
17,0.022849462,-3600,-34.66538625,12.1474985,1.312048061
17,0.022849462,-3600,-34.66538625,12.25134779,1.210496144
18,0.024193548,-3600,-34.66538625,12.25134779,1.210496144
18,0.024193548,-3600,-34.66538625,12.34880874,1.115191239
19,0.025537634,-3600,-34.66538625,12.34880874,1.115191239
19,0.025537634,-3600,-34.66538625,12.44061711,1.02541387
20,0.02688172,-3600,-34.66538625,12.44061711,1.02541387
20,0.02688172,-3600,-34.66538625,12.51606617,0.951633916
21,0.028225806,-3600,-34.66538625,12.51606617,0.951633916
21,0.028225806,-3600,-34.66538625,12.58751583,0.881764876
22,0.029569892,-3600,-34.66538625,12.58751583,0.881764876
22,0.029569892,-3600,-34.66538625,12.65552778,0.8152575
