Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0,0,-3.9813647626779343,-4.999992883288031
1,0.0013440860215053765,6.913309792760222,0.003371465505782513,9.2,0.0
2,0.002688172043010753,0,0,9.2,0.0
2,0.002688172043010753,6.90576974290672,0.003367788393262605,0.06226358201869964,-0.9756940173692097
3,0.004032258064516129,6.90576974290672,0.003367788393262605,0.06226358201869964,-0.9756940173692097
3,0.004032258064516129,6.901055149410823,0.003365489192182125,-0.17455670359931474,-1.2113822472455007
4,0.005376344086021506,6.901055149410823,0.003365489192182125,-0.17455670359931474,-1.2113822472455007
4,0.005376344086021506,6.897714550326525,0.003363860057235337,-0.3226341566618416,-1.358751855832114
5,0.006720430107526882,6.897714550326525,0.003363860057235337,-0.3226341566618416,-1.358751855832114
5,0.006720430107526882,6.895125915405033,0.0033625976382773417,-0.4275567559350293,-1.4631729008122074
6,0.008064516129032258,6.895125915405033,0.0033625976382773417,-0.4275567559350293,-1.4631729008122074
6,0.008064516129032258,6.893012477505751,0.003361566962206163,-0.5088614254504353,-1.5440889152015804
7,0.009408602150537635,6.893012477505751,0.003361566962206163,-0.5088614254504353,-1.5440889152015804
7,0.009408602150537635,6.891306256849314,0.003360734876814235,-0.5752409556482831,-1.610151135891514
8,0.010752688172043012,6.891306256849314,0.003360734876814235,-0.5752409556482831,-1.610151135891514
8,0.010752688172043012,6.889991157167155,0.003360093532313847,-0.6288304770752351,-1.663484487010803
9,0.012096774193548387,6.889991157167155,0.003360093532313847,-0.6288304770752351,-1.663484487010803
9,0.012096774193548387,6.888831337497496,0.00335952791437882,-0.6701355464575638,-1.7045921086076339
10,0.013440860215053764,6.888831337497496,0.00335952791437882,-0.6701355464575638,-1.7045921086076339
10,0.013440860215053764,6.887794060444908,0.003359022057718613,-0.7065635317853296,-1.7408459597397488
11,0.01478494623655914,6.887794060444908,0.003359022057718613,-0.7065635317853296,-1.7408459597397488
11,0.01478494623655914,6.886855936863779,0.0033585645559736097,-0.7391426595937354,-1.7732693517816864
12,0.016129032258064516,6.886855936863779,0.0033585645559736097,-0.7391426595937354,-1.7732693517816864
12,0.016129032258064516,6.8859996832128925,0.003358146980349964,-0.7686075436123545,-1.8025933868394783
13,0.01747311827956989,6.8859996832128925,0.003358146980349964,-0.7686075436123545,-1.8025933868394783
13,0.01747311827956989,6.885212171123398,0.0033577629284378256,-0.7955010308046493,-1.829358316942536
14,0.01881720430107527,6.885212171123398,0.0033577629284378256,-0.7955010308046493,-1.829358316942536
14,0.01881720430107527,6.8844831974593035,0.0033574074243975334,-0.820235461157937,-1.8539745109976689
15,0.020161290322580645,6.8844831974593035,0.0033574074243975334,-0.820235461157937,-1.8539745109976689
15,0.020161290322580645,6.883804673741171,0.003357076523659809,-0.8431312980148746,-1.876760900458628
16,0.021505376344086023,6.883804673741171,0.003357076523659809,-0.8431312980148746,-1.876760900458628
16,0.021505376344086023,6.883170075867189,0.0033567670445671157,-0.8644425869120109,-1.8979703164655413
17,0.0228494623655914,6.883170075867189,0.0033567670445671157,-0.8644425869120109,-1.8979703164655413
17,0.0228494623655914,6.882574068105509,0.0033564763850031844,-0.8843742389154805,-1.9178066905622477
18,0.024193548387096774,6.882574068105509,0.0033564763850031844,-0.8843742389154805,-1.9178066905622477
18,0.024193548387096774,6.882012231026993,0.0033562023897119467,-0.9030938403895039,-1.9364368080113876
19,0.025537634408602152,6.882012231026993,0.0033562023897119467,-0.9030938403895039,-1.9364368080113876
19,0.025537634408602152,6.881480863075912,0.0033559432535280273,-0.920740198170936,-1.953998812121027
20,0.026881720430107527,6.881480863075912,0.0033559432535280273,-0.920740198170936,-1.953998812121027
20,0.026881720430107527,6.88097683309228,0.003355697449455212,-0.9374295719003083,-1.9706084067837248
21,0.028225806451612902,6.88097683309228,0.003355697449455212,-0.9374295719003083,-1.9706084067837248
21,0.028225806451612902,6.880497468854025,0.003355463674310971,-0.9532603060470493,-1.9863634663596004
22,0.02956989247311828,6.880497468854025,0.003355463674310971,-0.9532603060470493,-1.9863634663596004
22,0.02956989247311828,6.880040471574096,0.0033552408070286273,-0.9683163306124118,-2.0013475196450847
23,0.030913978494623656,6.880040471574096,0.0033552408070286273,-0.9683163306124118,-2.0013475196450847
23,0.030913978494623656,6.879603849422655,0.0033550278762376207,-0.9826698466318131,-2.015632422537949
24,0.03225806451612903,6.879603849422655,0.0033550278762376207,-0.9826698466318131,-2.015632422537949
24,0.03225806451612903,6.879185865211179,0.0033548240347502293,-0.9963834141307846,-2.029280436012331
25,0.033602150537634407,6.879185865211179,0.0033548240347502293,-0.9963834141307846,-2.029280436012331
25,0.033602150537634407,6.878784994766089,0.003354628539261321,-1.009511595279312,-2.0423458614184233
26,0.03494623655913978,6.878784994766089,0.003354628539261321,-1.009511595279312,-2.0423458614184233
26,0.03494623655913978,6.878399893473874,0.0033544407340331665,-1.0221022618062605,-2.054876341647155
27,0.036290322580645164,6.878399893473874,0.0033544407340331665,-1.0221022618062605,-2.054876341647155
27,0.036290322580645164,6.878029369145535,0.0033542600376620367,-1.0341976457607611,-2.066913906868695
28,0.03763440860215054,6.878029369145535,0.0033542600376620367,-1.0341976457607611,-2.066913906868695
28,0.03763440860215054,6.877708606029067,0.0033541036087133685,-1.0458351917943212,-2.0784958227404533
29,0.038978494623655914,6.877708606029067,0.0033541036087133685,-1.0458351917943212,-2.0784958227404533
29,0.038978494623655914,6.87740039984671,0.0033539533034986978,-1.0559098218476528,-2.0885222937318706
30,0.04032258064516129,6.87740039984671,0.0033539533034986978,-1.0559098218476528,-2.0885222937318706
30,0.04032258064516129,6.8771026244599005,0.0033538080851481253,-1.0655900597178558,-2.0981562578260173
31,0.041666666666666664,6.8771026244599005,0.0033538080851481253,-1.0655900597178558,-2.0981562578260173
31,0.041666666666666664,6.876814608537556,0.0033536676262686,-1.074942683841634,-2.107464174243224
32,0.043010752688172046,6.876814608537556,0.0033536676262686,-1.074942683841634,-2.107464174243224
32,0.043010752688172046,6.876535738660975,0.003353531627709635,-1.0839887795992755,-2.116467027570785
33,0.04435483870967742,6.876535738660975,0.003353531627709635,-1.0839887795992755,-2.116467027570785
33,0.04435483870967742,6.876265455479271,0.003353399816688399,-1.0927476134406273,-2.125183992160459
34,0.0456989247311828,6.876265455479271,0.003353399816688399,-1.0927476134406273,-2.125183992160459
34,0.0456989247311828,6.876003249288824,0.0033532719446339133,-1.1012367536362966,-2.133632552302457
35,0.04704301075268817,6.876003249288824,0.0033532719446339133,-1.1012367536362966,-2.133632552302457
35,0.04704301075268817,6.875748654818859,0.0033531477846440996,-1.109472209119863,-2.1418286404039537
36,0.04838709677419355,6.875748654818859,0.0033531477846440996,-1.109472209119863,-2.1418286404039537
36,0.04838709677419355,6.875501243911889,0.003353027127916192,-1.1174685932639257,-2.1497867999822455
37,0.04973118279569892,6.875501243911889,0.003353027127916192,-1.1174685932639257,-2.1497867999822455
37,0.04973118279569892,6.875260623307,0.0033529097826656994,-1.1252393537750862,-2.157520414460789
38,0.051075268817204304,6.875260623307,0.0033529097826656994,-1.1252393537750862,-2.157520414460789
38,0.051075268817204304,6.87502643105588,0.0033527955723785807,-1.1327968423172639,-2.1650417764596894
39,0.05241935483870968,6.87502643105588,0.0033527955723785807,-1.1327968423172639,-2.1650417764596894
39,0.05241935483870968,6.874798333313602,0.0033526843342461823,-1.1401524270782897,-2.172362199824213
40,0.053763440860215055,6.874798333313602,0.0033526843342461823,-1.1401524270782897,-2.172362199824213
40,0.053763440860215055,6.874576021521294,0.0033525759177912917,-1.1473165935658471,-2.1794921199388897
41,0.05510752688172043,6.874576021521294,0.0033525759177912917,-1.1473165935658471,-2.1794921199388897
41,0.05510752688172043,6.874359209927874,0.0033524701836595396,-1.1542990330952332,-2.186441181792288
42,0.056451612903225805,6.874359209927874,0.0033524701836595396,-1.1542990330952332,-2.186441181792288
42,0.056451612903225805,6.874147633404782,0.0033523670025536983,-1.1611087206273503,-2.1932183174429234
43,0.05779569892473118,6.874147633404782,0.0033523670025536983,-1.1611087206273503,-2.1932183174429234
43,0.05779569892473118,6.873941045514114,0.0033522662542915522,-1.167753983404456,-2.1998318143269078
44,0.05913978494623656,6.873941045514114,0.0033522662542915522,-1.167753983404456,-2.1998318143269078
44,0.05913978494623656,6.873739216796471,0.003352167826970919,-1.1742425616265653,-2.2062893756443076
45,0.06048387096774194,6.873739216796471,0.003352167826970919,-1.1742425616265653,-2.2062893756443076
45,0.06048387096774194,6.873541933249509,0.0033520716162276747,-1.1805816622275707,-2.2125981738782077
46,0.06182795698924731,6.873541933249509,0.0033520716162276747,-1.1805816622275707,-2.2125981738782077
46,0.06182795698924731,6.873348994972522,0.003351977524574746,-1.1867780066612497,-2.218764898352281
47,0.06317204301075269,6.873348994972522,0.003351977524574746,-1.1867780066612497,-2.218764898352281
47,0.06317204301075269,6.873160214955946,0.0033518854608117804,-1.1928378734725573,-2.2247957975985853
48,0.06451612903225806,6.873160214955946,0.0033518854608117804,-1.1928378734725573,-2.2247957975985853
48,0.06451612903225806,6.8729754179976865,0.003351795339496662,-1.1987671363173718,-2.230696717195565
49,0.06586021505376344,6.8729754179976865,0.003351795339496662,-1.1987671363173718,-2.230696717195565
49,0.06586021505376344,6.872794439730721,0.0033517070804712948,-1.2045712979988803,-2.2364731336417356
50,0.06720430107526881,6.872794439730721,0.0033517070804712948,-1.2045712979988803,-2.2364731336417356
50,0.06720430107526881,6.872617125748609,0.003351620608435135,-1.2102555210088184,-2.2421301847509256
51,0.06854838709677419,6.872617125748609,0.003351620608435135,-1.2102555210088184,-2.2421301847509256
51,0.06854838709677419,6.872443330817337,0.0033515358525608246,-1.21582465499384,-2.2476726969873604
52,0.06989247311827956,6.872443330817337,0.0033515358525608246,-1.21582465499384,-2.2476726969873604
52,0.06989247311827956,6.872272918163504,0.0033514527461470565,-1.221283261510047,-2.2531052101018454
53,0.07123655913978495,6.872272918163504,0.0033514527461470565,-1.221283261510047,-2.2531052101018454
53,0.07123655913978495,6.872105758830165,0.003351371226304432,-1.2266356363799193,-2.2584319993818376
54,0.07258064516129033,6.872105758830165,0.003351371226304432,-1.2266356363799193,-2.2584319993818376
54,0.07258064516129033,6.8719417310927575,0.0033512912336706225,-1.2318858299243107,-2.2636570957867175
55,0.0739247311827957,6.8719417310927575,0.0033512912336706225,-1.2318858299243107,-2.2636570957867175
55,0.0739247311827957,6.871780720118585,0.0033512127122443092,-1.2370376653069357,-2.2687843042045963
56,0.07526881720430108,6.871780720118585,0.0033512127122443092,-1.2370376653069357,-2.2687843042045963
56,0.07526881720430108,6.871622617104034,0.0033511356089644187,-1.2420947492297216,-2.273817214096529
57,0.07661290322580645,6.871622617104034,0.0033511356089644187,-1.2420947492297216,-2.273817214096529
57,0.07661290322580645,6.871467319010916,0.003351059873581548,-1.2470604990311855,-2.278759226465365
58,0.07795698924731183,6.871467319010916,0.003351059873581548,-1.2470604990311855,-2.278759226465365
58,0.07795698924731183,6.871314728178961,0.003350985458468981,-1.2519381509675291,-2.283613562097252
59,0.0793010752688172,6.871314728178961,0.003350985458468981,-1.2519381509675291,-2.283613562097252
59,0.0793010752688172,6.871164751958318,0.0033509123184434736,-1.2567307723836372,-2.2883832736744605
60,0.08064516129032258,6.871164751958318,0.0033509123184434736,-1.2567307723836372,-2.2883832736744605
60,0.08064516129032258,6.871017302372706,0.0033508404106009733,-1.261441273255457,-2.293071257262576
61,0.08198924731182795,6.871017302372706,0.0033508404106009733,-1.261441273255457,-2.293071257262576
61,0.08198924731182795,6.870872295810396,0.0033507696941659235,-1.266072416770081,-2.297680262840016
62,0.08333333333333333,6.870872295810396,0.0033507696941659235,-1.266072416770081,-2.297680262840016
62,0.08333333333333333,6.870729652740321,0.003350700130352813,-1.2706268290312668,-2.3022129039571593
63,0.0846774193548387,6.870729652740321,0.003350700130352813,-1.2706268290312668,-2.3022129039571593
63,0.0846774193548387,6.87058929745087,0.0033506316822387947,-1.275107007976068,-2.306671666610341
64,0.08602150537634409,6.87058929745087,0.0033506316822387947,-1.275107007976068,-2.306671666610341
64,0.08602150537634409,6.870451157809247,0.003350564314646328,-1.2795153315789456,-2.311058917406752
65,0.08736559139784947,6.870451157809247,0.003350564314646328,-1.2795153315789456,-2.311058917406752
65,0.08736559139784947,6.870315165039502,0.0033504979940349316,-1.2838540654096047,-2.315376911086153
66,0.08870967741935484,6.870315165039502,0.0033504979940349316,-1.2838540654096047,-2.315376911086153
66,0.08870967741935484,6.8701812535174875,0.0033504326884011854,-1.2881253696050088,-2.3196277974595514
67,0.09005376344086022,6.8701812535174875,0.0033504326884011854,-1.2881253696050088,-2.3196277974595514
67,0.09005376344086022,6.870049360581235,0.003350368367186259,-1.2923313053093057,-2.3238136278183497
68,0.0913978494623656,6.870049360581235,0.003350368367186259,-1.2923313053093057,-2.3238136278183497
68,0.0913978494623656,6.869919426355374,0.0033503050011902827,-1.2964738406295613,-2.327936360861607
69,0.09274193548387097,6.869919426355374,0.0033503050011902827,-1.2964738406295613,-2.327936360861607
69,0.09274193548387097,6.869791393588373,0.003350242562492974,-1.3005548561503968,-2.331997868184316
70,0.09408602150537634,6.869791393588373,0.003350242562492974,-1.3005548561503968,-2.331997868184316
70,0.09408602150537634,6.8696652075014875,0.0033501810243799723,-1.3045761500461204,-2.335999939365093
71,0.09543010752688172,6.8696652075014875,0.0033501810243799723,-1.3045761500461204,-2.335999939365093
71,0.09543010752688172,6.86954081564841,0.003350120361274394,-1.308539442825067,-2.3399442866878477
72,0.0967741935483871,6.86954081564841,0.003350120361274394,-1.308539442825067,-2.3399442866878477
72,0.0967741935483871,6.869418167784753,0.003350060548673184,-1.3124463817374892,-2.3438325495285945
73,0.09811827956989247,6.869418167784753,0.003350060548673184,-1.3124463817374892,-2.3438325495285945
73,0.09811827956989247,6.869297215746515,0.0033500015630878424,-1.316298544875167,-2.347666298435471
74,0.09946236559139784,6.869297215746515,0.0033500015630878424,-1.316298544875167,-2.347666298435471
74,0.09946236559139784,6.869177913336836,0.0033499433819892013,-1.3200974449882832,-2.351447038927362
75,0.10080645161290322,6.869177913336836,0.0033499433819892013,-1.3200974449882832,-2.351447038927362
75,0.10080645161290322,6.869060216220329,0.0033498859837558905,-1.323844533042644,-2.3551762150341213
76,0.10215053763440861,6.869060216220329,0.0033498859837558905,-1.323844533042644,-2.3551762150341213
76,0.10215053763440861,6.868944081824434,0.003349829347626232,-1.3275412015380823,-2.358855212599114
77,0.10349462365591398,6.868944081824434,0.003349829347626232,-1.3275412015380823,-2.358855212599114
77,0.10349462365591398,6.8688294692472045,0.0033497734536532663,-1.331188787607175,-2.3624853623631106
78,0.10483870967741936,6.8688294692472045,0.0033497734536532663,-1.331188787607175,-2.3624853623631106
78,0.10483870967741936,6.86871633917105,0.003349718282662691,-1.3347885759112614,-2.3660679428464735
79,0.10618279569892473,6.86871633917105,0.003349718282662691,-1.3347885759112614,-2.3660679428464735
79,0.10618279569892473,6.868604653781974,0.0033496638162134706,-1.3383418013497383,-2.3696041830454946
80,0.10752688172043011,6.868604653781974,0.0033496638162134706,-1.3383418013497383,-2.3696041830454946
80,0.10752688172043011,6.8684943766938895,0.0033496100365609308,-1.341849651596661,-2.3730952649568704
81,0.10887096774193548,6.8684943766938895,0.0033496100365609308,-1.341849651596661,-2.3730952649568704
