ln(t/ts),H: 124.47 m,H: 124.47 m bhw
-49.06118595755933,-1.741816003830276,1.3475551087578104e-05
-47.66597951488267,-1.7368045800421381,1.6408603685211317e-05
-46.27077307220601,-1.7317931562540005,1.934165628284453e-05
-44.875566629529345,-1.7267817324658628,2.227470888047776e-05
-43.480360186852685,-1.7217703086777252,2.5207761478110972e-05
-42.085153744176026,-1.7167588848895874,2.8140814075744185e-05
-40.68994730149936,-1.7117474611014498,3.107386667337741e-05
-39.2947408588227,-1.706736037313312,3.400691927101063e-05
-37.89953441614604,-1.7017246135251745,3.693997186864384e-05
-36.50432797346938,-1.6967131897370367,3.9873024466277057e-05
-35.10912153079272,-1.691701765948899,4.280607706391026e-05
-33.71391508811605,-1.6866903421607613,4.5739129661543496e-05
-32.31870864543939,-1.6816789183726235,4.8672182259176715e-05
-30.923502202762734,-1.676667494584486,5.160523485680992e-05
-29.52829576008607,-1.6716560707963481,5.453828745444314e-05
-28.133089317409407,-1.6666446470082106,5.747134005207636e-05
-26.737882874732747,-1.6616332232200728,6.040439264970958e-05
-25.342676432056088,-1.6566217994319352,6.333744524734279e-05
-23.947469989379425,-1.6516103756437974,6.6270497844976e-05
-22.55226354670276,-1.6465989518556596,6.920355044260924e-05
-21.1570571040261,-1.641587528067522,7.213660304024245e-05
-19.761850661349442,-1.6365761042793843,7.506965563787566e-05
-18.36664421867278,-1.6315646804912467,7.800270823550888e-05
-16.971437775996115,-1.626553256703109,8.09357608331421e-05
-15.576231333319456,-1.4465308868687323,0.0006394953961986389
-14.181024890642796,-0.9324080298612698,0.021219392423119394
-12.785818447966136,-0.06445610300012679,0.25980437280066077
-11.39061200528947,0.9050985078999507,0.885264929014968
-9.99540556261281,1.7334143221122602,1.6243832927187178
-8.600199119936146,2.4726351472121997,2.3446638330629423
-8.5,2.5418601358559876,2.5418601358559876
-7.8,2.888723409714976,2.888723409714976
-7.2,3.1855256517888,3.1855256517888
-6.5,3.530569981780719,3.530569981780719
-5.9,3.8246379770256307,3.8246379770256307
-5.2,4.16456892957862,4.16456892957862
-4.5,4.499333255736321,4.499333255736321
-3.963,4.75109030482766,4.75109030482766
-3.27,5.066660883650664,5.066660883650664
-2.864,5.245227314777888,5.245227314777888
-2.577,5.367935105543534,5.367935105543534
-2.171,5.535425359691693,5.535425359691693
-1.884,5.648914073120611,5.648914073120611
-1.191,5.901622439690714,5.901622439690714
-0.497,6.116566273129336,6.116566273129336
-0.274,6.175642870269456,6.175642870269456
-0.051,6.229111128901305,6.229111128901305
0.196,6.281505974428312,6.281505974428312
0.419,6.322496681740771,6.322496681740771
0.642,6.357623972114632,6.357623972114632
0.873,6.388066323914503,6.388066323914503
1.112,6.413699431691601,6.413699431691601
1.335,6.432852987718307,6.432852987718307
1.679,6.454828107205047,6.454828107205047
2.028,6.469832644961307,6.469832644961307
2.275,6.477179660711326,6.477179660711326
3.003,6.48902126974397,6.48902126974397
