ln(t/ts),H: 115.86 m,H: 115.86 m bhw
-48.917828696996644,-1.7376484204678464,1.3591816600146238e-05
-47.527562767868154,-1.732657861890431,1.6537253711212623e-05
-46.13729683873967,-1.7276673033130154,1.9482690822278994e-05
-44.74703090961118,-1.7226767447356,2.2428127933345378e-05
-43.356764980482694,-1.7176861861581847,2.537356504441176e-05
-41.966499051354205,-1.7126956275807692,2.831900215547815e-05
-40.576233122225716,-1.7077050690033537,3.1264439266544536e-05
-39.185967193097234,-1.7027145104259382,3.420987637761091e-05
-37.795701263968745,-1.6977239518485228,3.715531348867729e-05
-36.405435334840256,-1.6927333932711073,4.0100750599743674e-05
-35.015169405711774,-1.687742834693692,4.3046187710810045e-05
-33.624903476583285,-1.6827522761162765,4.599162482187643e-05
-32.234637547454795,-1.677761717538861,4.893706193294281e-05
-30.844371618326306,-1.6727711589614456,5.1882499044009203e-05
-29.45410568919782,-1.66778060038403,5.482793615507558e-05
-28.063839760069335,-1.6627900418066146,5.777337326614196e-05
-26.673573830940846,-1.6577994832291991,6.071881037720834e-05
-25.283307901812357,-1.6528089246517836,6.366424748827473e-05
-23.89304197268387,-1.6478183660743684,6.66096845993411e-05
-22.502776043555386,-1.642827807496953,6.955512171040748e-05
-21.112510114426897,-1.6378372489195374,7.250055882147386e-05
-19.722244185298408,-1.632846690342122,7.544599593254025e-05
-18.331978256169922,-1.6278561317647064,7.839143304360663e-05
-16.941712327041436,-1.622865573187291,8.1336870154673e-05
-15.551446397912947,-1.4681152397204829,0.0005253503756724714
-14.161180468784458,-0.9898985052726402,0.015860802757508986
-12.77091453965597,-0.15262522221915553,0.22026740911166773
-11.380648610527487,0.8183605834849619,0.8161229358713482
-9.990382681398998,1.6568824165726808,1.5517376647432701
-8.600116752270509,2.3986711516612904,2.2715990247710716
-8.5,2.4712408045895673,2.4712408045895673
-7.8,2.8179865113454334,2.8179865113454334
-7.2,3.1147368156677433,3.1147368156677433
-6.5,3.4597612334942958,3.4597612334942958
-5.9,3.7538591698609296,3.7538591698609296
-5.2,4.0939015083804895,4.0939015083804895
-4.5,4.428864579415729,4.428864579415729
-3.963,4.680825907201302,4.680825907201302
-3.27,4.9967166137976715,4.9967166137976715
-2.864,5.175492480253752,5.175492480253752
-2.577,5.298355821301491,5.298355821301491
-2.171,5.466075928653621,5.466075928653621
-1.884,5.57973146711468,5.57973146711468
-1.191,5.832852353696918,5.832852353696918
-0.497,6.0482107783342425,6.0482107783342425
-0.274,6.107418891962919,6.107418891962919
-0.051,6.161015532895442,6.161015532895442
0.196,6.213547156767878,6.213547156767878
0.419,6.2546541309635995,6.2546541309635995
0.642,6.2898887603660425,6.2898887603660425
0.873,6.320430950344616,6.320430950344616
1.112,6.346153838389908,6.346153838389908
1.335,6.365378389920246,6.365378389920246
1.679,6.387439675786901,6.387439675786901
2.028,6.4025065057666835,6.4025065057666835
2.275,6.409885261835129,6.409885261835129
3.003,6.4217800991341765,6.4217800991341765
