Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
1,1,1,0,3600
1,1,2,1,3600
1,1,3,2,3600
1,1,4,3,3600
1,1,5,4,3600
1,1,6,5,3600
1,1,7,6,3600
1,1,8,7,3600
1,1,9,8,3600
1,1,10,9,3600
1,1,11,10,3600
1,1,12,11,3600
1,1,13,12,3600
1,1,14,13,3600
1,1,15,14,3600
1,1,16,15,3600
1,1,17,16,3600
1,1,18,17,3600
1,1,19,18,3600
1,1,20,19,3600
1,1,21,20,3600
1,1,22,21,3600
1,1,23,22,3600
1,1,24,23,3600
1,2,1,24,3600
1,2,2,25,3600
1,2,3,26,3600
1,2,4,27,3600
1,2,5,28,3600
1,2,6,29,3600
1,2,7,30,3600
1,2,8,31,3600
1,2,9,32,3600
1,2,10,33,3600
1,2,11,34,3600
1,2,12,35,3600
1,2,13,36,3600
1,2,14,37,3600
1,2,15,38,3600
1,2,16,39,3600
1,2,17,40,3600
1,2,18,41,3600
1,2,19,42,3600
1,2,20,43,3600
1,2,21,44,3600
1,2,22,45,3600
1,2,23,46,3600
1,2,24,47,3600
1,3,1,48,3600
1,3,2,49,3600
1,3,3,50,3600
1,3,4,51,3600
1,3,5,52,3600
1,3,6,53,3600
1,3,7,54,3600
1,3,8,55,3600
1,3,9,56,3600
1,3,10,57,3600
1,3,11,58,3600
1,3,12,59,3600
1,3,13,60,3600
1,3,14,61,3600
1,3,15,62,3600
1,3,16,63,3600
1,3,17,64,3600
1,3,18,65,3600
1,3,19,66,3600
1,3,20,67,3600
1,3,21,68,3600
1,3,22,69,3600
1,3,23,70,3600
1,3,24,71,3600
1,4,1,72,3600
1,4,2,73,3600
1,4,3,74,3600
1,4,4,75,3600
1,4,5,76,3600
1,4,6,77,3600
1,4,7,78,3600
1,4,8,79,3600
1,4,9,80,3600
1,4,10,81,3600
1,4,11,82,3600
1,4,12,83,3600
1,4,13,84,3600
1,4,14,85,3600
1,4,15,86,3600
1,4,16,87,3600
1,4,17,88,3600
1,4,18,89,3600
1,4,19,90,3600
1,4,20,91,3600
1,4,21,92,3600
1,4,22,93,3600
1,4,23,94,3600
1,4,24,95,3600
1,5,1,96,3600
1,5,2,97,3600
1,5,3,98,3600
1,5,4,99,3600
1,5,5,100,3600
1,5,6,101,3600
1,5,7,102,3600
1,5,8,103,3600
1,5,9,104,3600
1,5,10,105,3600
1,5,11,106,3600
1,5,12,107,3600
1,5,13,108,3600
1,5,14,109,3600
1,5,15,110,3600
1,5,16,111,3600
1,5,17,112,3600
1,5,18,113,3600
1,5,19,114,3600
1,5,20,115,3600
1,5,21,116,3600
1,5,22,117,3600
1,5,23,118,3600
1,5,24,119,3600
1,6,1,120,3600
1,6,2,121,3600
1,6,3,122,3600
1,6,4,123,3600
1,6,5,124,3600
1,6,6,125,3600
1,6,7,126,3600
1,6,8,127,3600
1,6,9,128,3600
1,6,10,129,3600
1,6,11,130,3600
1,6,12,131,3600
1,6,13,132,3600
1,6,14,133,3600
1,6,15,134,3600
1,6,16,135,3600
1,6,17,136,3600
1,6,18,137,3600
1,6,19,138,3600
1,6,20,139,3600
1,6,21,140,3600
1,6,22,141,3600
1,6,23,142,3600
1,6,24,143,3600
1,7,1,144,3600
1,7,2,145,3600
1,7,3,146,3600
1,7,4,147,3600
1,7,5,148,3600
1,7,6,149,3600
1,7,7,150,3600
1,7,8,151,3600
1,7,9,152,3600
1,7,10,153,3600
1,7,11,154,3600
1,7,12,155,3600
1,7,13,156,3600
1,7,14,157,3600
1,7,15,158,3600
1,7,16,159,3600
1,7,17,160,3600
1,7,18,161,3600
1,7,19,162,3600
1,7,20,163,3600
1,7,21,164,3600
1,7,22,165,3600
1,7,23,166,3600
1,7,24,167,3600
1,8,1,168,3600
1,8,2,169,3600
1,8,3,170,3600
1,8,4,171,3600
1,8,5,172,3600
1,8,6,173,3600
1,8,7,174,3600
1,8,8,175,3600
1,8,9,176,3600
1,8,10,177,3600
1,8,11,178,3600
1,8,12,179,3600
1,8,13,180,3600
1,8,14,181,3600
1,8,15,182,3600
1,8,16,183,3600
1,8,17,184,3600
1,8,18,185,3600
1,8,19,186,3600
1,8,20,187,3600
1,8,21,188,3600
1,8,22,189,3600
1,8,23,190,3600
1,8,24,191,3600
1,9,1,192,3600
1,9,2,193,3600
1,9,3,194,3600
1,9,4,195,3600
1,9,5,196,3600
1,9,6,197,3600
1,9,7,198,3600
1,9,8,199,3600
1,9,9,200,3600
1,9,10,201,3600
1,9,11,202,3600
1,9,12,203,3600
1,9,13,204,3600
1,9,14,205,3600
1,9,15,206,3600
1,9,16,207,3600
1,9,17,208,3600
1,9,18,209,3600
1,9,19,210,3600
1,9,20,211,3600
1,9,21,212,3600
1,9,22,213,3600
1,9,23,214,3600
1,9,24,215,3600
1,10,1,216,3600
1,10,2,217,3600
1,10,3,218,3600
1,10,4,219,3600
1,10,5,220,3600
1,10,6,221,3600
1,10,7,222,3600
1,10,8,223,3600
1,10,9,224,3600
1,10,10,225,3600
1,10,11,226,3600
1,10,12,227,3600
1,10,13,228,3600
1,10,14,229,3600
1,10,15,230,3600
1,10,16,231,3600
1,10,17,232,3600
1,10,18,233,3600
1,10,19,234,3600
1,10,20,235,3600
1,10,21,236,3600
1,10,22,237,3600
1,10,23,238,3600
1,10,24,239,3600
1,11,1,240,3600
1,11,2,241,3600
1,11,3,242,3600
1,11,4,243,3600
1,11,5,244,3600
1,11,6,245,3600
