Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0,0,19.087309228953973,-4.999993035254757
1,0.0013440860215053765,-3600.0,-31.071888008508925,9.2,0.0
2,0.002688172043010753,0,0,9.2,0.0
2,0.002688172043010753,-3600.0,-31.071888008508925,7.520268740806699,6.336510264124186
3,0.004032258064516129,-3600.0,-31.071888008508925,7.520268740806699,6.336510264124186
3,0.004032258064516129,-3600.0,-31.071888008508925,8.623123007322464,5.255636462056889
4,0.005376344086021506,-3600.0,-31.071888008508925,8.623123007322464,5.255636462056889
4,0.005376344086021506,-3600.0,-31.071888008508925,9.30699907249372,4.585390405848781
5,0.006720430107526882,-3600.0,-31.071888008508925,9.30699907249372,4.585390405848781
5,0.006720430107526882,-3600.0,-31.071888008508925,9.789359491536757,4.112643683160766
6,0.008064516129032258,-3600.0,-31.071888008508925,9.789359491536757,4.112643683160766
6,0.008064516129032258,-3600.0,-31.071888008508925,10.161892871090387,3.7475350894140718
7,0.009408602150537635,-3600.0,-31.071888008508925,10.161892871090387,3.7475350894140718
7,0.009408602150537635,-3600.0,-31.071888008508925,10.446795694109685,3.4683105292104286
8,0.010752688172043012,-3600.0,-31.071888008508925,10.446795694109685,3.4683105292104286
8,0.010752688172043012,-3600.0,-31.071888008508925,10.66698812055478,3.2525066534091014
9,0.012096774193548387,-3600.0,-31.071888008508925,10.66698812055478,3.2525066534091014
9,0.012096774193548387,-3600.0,-31.071888008508925,10.857503090435905,3.065788746883955
10,0.013440860215053764,-3600.0,-31.071888008508925,10.857503090435905,3.065788746883955
10,0.013440860215053764,-3600.0,-31.071888008508925,11.025336027066956,2.901300808779823
11,0.01478494623655914,-3600.0,-31.071888008508925,11.025336027066956,2.901300808779823
11,0.01478494623655914,-3600.0,-31.071888008508925,11.175282119289905,2.754343220885471
12,0.016129032258064516,-3600.0,-31.071888008508925,11.175282119289905,2.754343220885471
12,0.016129032258064516,-3600.0,-31.071888008508925,11.310765506459656,2.6215600887407544
13,0.01747311827956989,-3600.0,-31.071888008508925,11.310765506459656,2.6215600887407544
13,0.01747311827956989,-3600.0,-31.071888008508925,11.434313447403948,2.500474523113002
14,0.01881720430107527,-3600.0,-31.071888008508925,11.434313447403948,2.500474523113002
14,0.01881720430107527,-3600.0,-31.071888008508925,11.547846326505745,2.3892044138880566
15,0.020161290322580645,-3600.0,-31.071888008508925,11.547846326505745,2.3892044138880566
15,0.020161290322580645,-3600.0,-31.071888008508925,11.652857922186726,2.2862857544323076
16,0.021505376344086023,-3600.0,-31.071888008508925,11.652857922186726,2.2862857544323076
16,0.021505376344086023,-3600.0,-31.071888008508925,11.750531576189296,2.190558787625445
17,0.0228494623655914,-3600.0,-31.071888008508925,11.750531576189296,2.190558787625445
17,0.0228494623655914,-3600.0,-31.071888008508925,11.841820557577499,2.1010892435562623
18,0.024193548387096774,-3600.0,-31.071888008508925,11.841820557577499,2.1010892435562623
18,0.024193548387096774,-3600.0,-31.071888008508925,11.927504021011876,2.0171134965256043
19,0.025537634408602152,-3600.0,-31.071888008508925,11.927504021011876,2.0171134965256043
19,0.025537634408602152,-3600.0,-31.071888008508925,12.008226938596806,1.937999429061694
20,0.026881720430107527,-3600.0,-31.071888008508925,12.008226938596806,1.937999429061694
20,0.026881720430107527,-3600.0,-31.071888008508925,12.084529211995566,1.863217900024814
21,0.028225806451612902,-3600.0,-31.071888008508925,12.084529211995566,1.863217900024814
21,0.028225806451612902,-3600.0,-31.071888008508925,12.156867299896337,1.7923215481880432
22,0.02956989247311828,-3600.0,-31.071888008508925,12.156867299896337,1.7923215481880432
22,0.02956989247311828,-3600.0,-31.071888008508925,12.225630555987756,1.7249287798861443
23,0.030913978494623656,-3600.0,-31.071888008508925,12.225630555987756,1.7249287798861443
23,0.030913978494623656,-3600.0,-31.071888008508925,12.291153756958838,1.6607114907052427
24,0.03225806451612903,-3600.0,-31.071888008508925,12.291153756958838,1.6607114907052427
24,0.03225806451612903,-3600.0,-31.071888008508925,12.348136497058764,1.604864446527226
25,0.033602150537634407,-3600.0,-31.071888008508925,12.348136497058764,1.604864446527226
25,0.033602150537634407,-3600.0,-31.071888008508925,12.400859231108802,1.5531925042423367
26,0.03494623655913978,-3600.0,-31.071888008508925,12.400859231108802,1.5531925042423367
26,0.03494623655913978,-3600.0,-31.071888008508925,12.451449569824137,1.5036104575337788
27,0.036290322580645164,-3600.0,-31.071888008508925,12.451449569824137,1.5036104575337788
27,0.036290322580645164,-3600.0,-31.071888008508925,12.500061149478912,1.4559677321790028
28,0.03763440860215054,-3600.0,-31.071888008508925,12.500061149478912,1.4559677321790028
28,0.03763440860215054,-3600.0,-31.071888008508925,12.546836944222191,1.4101242035787855
29,0.038978494623655914,-3600.0,-31.071888008508925,12.546836944222191,1.4101242035787855
29,0.038978494623655914,-3600.0,-31.071888008508925,12.591906218552227,1.3659531835441778
30,0.04032258064516129,-3600.0,-31.071888008508925,12.591906218552227,1.3659531835441778
30,0.04032258064516129,-3600.0,-31.071888008508925,12.635385638336757,1.3233403314194283
31,0.041666666666666664,-3600.0,-31.071888008508925,12.635385638336757,1.3233403314194283
31,0.041666666666666664,-3600.0,-31.071888008508925,12.6773817439432,1.282181230242567
32,0.043010752688172046,-3600.0,-31.071888008508925,12.6773817439432,1.282181230242567
32,0.043010752688172046,-3600.0,-31.071888008508925,12.717991296021687,1.242381047854012
33,0.04435483870967742,-3600.0,-31.071888008508925,12.717991296021687,1.242381047854012
33,0.04435483870967742,-3600.0,-31.071888008508925,12.757302041800145,1.203853785874149
34,0.0456989247311828,-3600.0,-31.071888008508925,12.757302041800145,1.203853785874149
34,0.0456989247311828,-3600.0,-31.071888008508925,12.795393758840875,1.16652125674937
35,0.04704301075268817,-3600.0,-31.071888008508925,12.795393758840875,1.16652125674937
35,0.04704301075268817,-3600.0,-31.071888008508925,12.832339166339597,1.130312190615699
36,0.04838709677419355,-3600.0,-31.071888008508925,12.832339166339597,1.130312190615699
36,0.04838709677419355,-3600.0,-31.071888008508925,12.868204718036997,1.0951614581903875
37,0.04973118279569892,-3600.0,-31.071888008508925,12.868204718036997,1.0951614581903875
37,0.04973118279569892,-3600.0,-31.071888008508925,12.903051291585498,1.0610093951445771
38,0.051075268817204304,-3600.0,-31.071888008508925,12.903051291585498,1.0610093951445771
38,0.051075268817204304,-3600.0,-31.071888008508925,12.936934788340654,1.0278012142660784
39,0.05241935483870968,-3600.0,-31.071888008508925,12.936934788340654,1.0278012142660784
39,0.05241935483870968,-3600.0,-31.071888008508925,12.969906656362067,0.9954864928821224
40,0.053763440860215055,-3600.0,-31.071888008508925,12.969906656362067,0.9954864928821224
40,0.053763440860215055,-3600.0,-31.071888008508925,13.002014347629316,0.9640187247559875
41,0.05510752688172043,-3600.0,-31.071888008508925,13.002014347629316,0.9640187247559875
41,0.05510752688172043,-3600.0,-31.071888008508925,13.033301718826786,0.9333549272900364
42,0.056451612903225805,-3600.0,-31.071888008508925,13.033301718826786,0.9333549272900364
42,0.056451612903225805,-3600.0,-31.071888008508925,13.063809383645067,0.9034552962458489
43,0.05779569892473118,-3600.0,-31.071888008508925,13.063809383645067,0.9034552962458489
43,0.05779569892473118,-3600.0,-31.071888008508925,13.093575023335756,0.8742829013789527
44,0.05913978494623656,-3600.0,-31.071888008508925,13.093575023335756,0.8742829013789527
44,0.05913978494623656,-3600.0,-31.071888008508925,13.12263366122872,0.8458034173928273
45,0.06048387096774194,-3600.0,-31.071888008508925,13.12263366122872,0.8458034173928273
45,0.06048387096774194,-3600.0,-31.071888008508925,13.151017906055483,0.8179848854650882
46,0.06182795698924731,-3600.0,-31.071888008508925,13.151017906055483,0.8179848854650882
46,0.06182795698924731,-3600.0,-31.071888008508925,13.178758031097548,0.7907976356766222
47,0.06317204301075269,-3600.0,-31.071888008508925,13.178758031097548,0.7907976356766222
47,0.06317204301075269,-3600.0,-31.071888008508925,13.20588236375156,0.764213905210671
48,0.06451612903225806,-3600.0,-31.071888008508925,13.20588236375156,0.764213905210671
48,0.06451612903225806,-3600.0,-31.071888008508925,13.232417480491462,0.7382076472763656
49,0.06586021505376344,-3600.0,-31.071888008508925,13.232417480491462,0.7382076472763656
49,0.06586021505376344,-3600.0,-31.071888008508925,13.258388291970485,0.7127544477028712
50,0.06720430107526881,-3600.0,-31.071888008508925,13.258388291970485,0.7127544477028712
50,0.06720430107526881,-3600.0,-31.071888008508925,13.283818165296566,0.6878314051009802
51,0.06854838709677419,-3600.0,-31.071888008508925,13.283818165296566,0.6878314051009802
51,0.06854838709677419,-3600.0,-31.071888008508925,13.308729048872962,0.6634170085106298
52,0.06989247311827956,-3600.0,-31.071888008508925,13.308729048872962,0.6634170085106298
52,0.06989247311827956,-3600.0,-31.071888008508925,13.333141584809988,0.6394910272296022
53,0.07123655913978495,-3600.0,-31.071888008508925,13.333141584809988,0.6394910272296022
53,0.07123655913978495,-3600.0,-31.071888008508925,13.357075210460245,0.6160344113019359
54,0.07258064516129033,-3600.0,-31.071888008508925,13.357075210460245,0.6160344113019359
54,0.07258064516129033,-3600.0,-31.071888008508925,13.380548250269092,0.5930292014980875
55,0.0739247311827957,-3600.0,-31.071888008508925,13.380548250269092,0.5930292014980875
55,0.0739247311827957,-3600.0,-31.071888008508925,13.40357799902175,0.5704584477269831
56,0.07526881720430108,-3600.0,-31.071888008508925,13.40357799902175,0.5704584477269831
56,0.07526881720430108,-3600.0,-31.071888008508925,13.426180797454123,0.5483061349321595
57,0.07661290322580645,-3600.0,-31.071888008508925,13.426180797454123,0.5483061349321595
57,0.07661290322580645,-3600.0,-31.071888008508925,13.448372101056856,0.5265571156590209
58,0.07795698924731183,-3600.0,-31.071888008508925,13.448372101056856,0.5265571156590209
58,0.07795698924731183,-3600.0,-31.071888008508925,13.47016654279416,0.5051970485860087
59,0.0793010752688172,-3600.0,-31.071888008508925,13.47016654279416,0.5051970485860087
59,0.0793010752688172,-3600.0,-31.071888008508925,13.491577990371582,0.4842123423982292
60,0.08064516129032258,-3600.0,-31.071888008508925,13.491577990371582,0.4842123423982292
60,0.08064516129032258,-3600.0,-31.071888008508925,13.51261959861079,0.4635901044565145
61,0.08198924731182795,-3600.0,-31.071888008508925,13.51261959861079,0.4635901044565145
