ln(t/ts),H: 88.19 m,H: 88.19 m bhw
-48.37213048430069,-1.7262589966754642,1.3915390658661714e-05
-47.00069218672694,-1.721344473251495,1.68833437385535e-05
-45.62925388915318,-1.7164299498275262,1.9851296818445287e-05
-44.25781559157943,-1.711515426403557,2.2819249898337073e-05
-42.886377294005676,-1.706600902979588,2.578720297822886e-05
-41.51493899643192,-1.701686379555619,2.8755156058120648e-05
-40.14350069885817,-1.6967718561316498,3.172310913801243e-05
-38.772062401284416,-1.691857332707681,3.469106221790422e-05
-37.40062410371066,-1.6869428092837118,3.7659015297796e-05
-36.02918580613691,-1.6820282858597428,4.062696837768779e-05
-34.657747508563155,-1.6771137624357737,4.359492145757958e-05
-33.2863092109894,-1.6721992390118046,4.656287453747137e-05
-31.914870913415644,-1.6672847155878356,4.953082761736316e-05
-30.54343261584189,-1.6623701921638665,5.249878069725495e-05
-29.171994318268137,-1.6574556687398974,5.546673377714673e-05
-27.800556020694383,-1.6525411453159284,5.843468685703852e-05
-26.42911772312063,-1.6476266218919593,6.14026399369303e-05
-25.057679425546876,-1.6427120984679904,6.437059301682209e-05
-23.686241127973123,-1.6377975750440212,6.733854609671388e-05
-22.31480283039937,-1.6328830516200523,7.030649917660566e-05
-20.943364532825615,-1.6279685281960832,7.327445225649745e-05
-19.571926235251862,-1.623054004772114,7.624240533638924e-05
-18.20048793767811,-1.6181394813481451,7.921035841628102e-05
-16.829049640104355,-1.613224957924176,8.217831149617281e-05
-15.457611342530598,-1.5398210157235324,0.00022394959887766738
-14.086173044956844,-1.1835749204199193,0.004928493508945132
-12.71473474738309,-0.4743696903004429,0.10502378142587396
-11.343296449809337,0.47484141355357357,0.56494203041465
-9.971858152235583,1.356161389347429,1.2728123772491164
-8.600419854661832,2.113642537530233,1.991558346861619
-8.5,2.188453179435552,2.188453179435552
-7.8,2.5342359950742344,2.5342359950742344
-7.2,2.8305558584472372,2.8305558584472372
-6.5,3.17533566311403,3.17533566311403
-5.9,3.469410768790823,3.469410768790823
-5.2,3.809708707972755,3.809708707972755
-4.5,4.1453201371242026,4.1453201371242026
-3.963,4.398062439017642,4.398062439017642
-3.27,4.7153069246765105,4.7153069246765105
-2.864,4.895024733808416,4.895024733808416
-2.577,5.018608698453043,5.018608698453043
-2.171,5.187420734997118,5.187420734997118
-1.884,5.301885078224917,5.301885078224917
-1.191,5.557058791962734,5.557058791962734
-0.497,5.774533424326607,5.774533424326607
-0.274,5.834420306922771,5.834420306922771
-0.051,5.888684073957178,5.888684073957178
0.196,5.941930613278751,5.941930613278751
0.419,5.983648969204346,5.983648969204346
0.642,6.019450458946938,6.019450458946938
0.873,6.050522472363165,6.050522472363165
1.112,6.076724011747556,6.076724011747556
1.335,6.096328362585515,6.096328362585515
1.679,6.118852439954403,6.118852439954403
2.028,6.134254912772223,6.134254912772223
2.275,6.141805029764199,6.141805029764199
3.003,6.153987751732454,6.153987751732454
